Barcode,Wine,Label
90609958,NV The Austin Winery Euphoria,Right wine fridge / 1
87711117,NV Barcino Cava Brut,Left wine fridge / 1
87711103,"2000 Gundlach Bundschu Gewürztraminer
Rhinefarm Vineyard",Left wine fridge / 1
88553528,2015 Gundlach Bundschu Pinot Noir,Left wine fridge / 1
88553529,2015 Gundlach Bundschu Pinot Noir,Left wine fridge / 1
90196766,2015 Gundlach Bundschu Pinot Noir,Right wine fridge / 1
90196767,2015 Gundlach Bundschu Pinot Noir,Right wine fridge / 1
88553508,2014 Gundlach Bundschu Pinot Noir,Right wine fridge / 1
88553509,2014 Gundlach Bundschu Pinot Noir,Right wine fridge / 1
87674474,2014 Locus Wines,Right wine fridge / 1
90609639,"2015 La Rochelle Pinot Meunier Parliament
Hill",Right wine fridge / 1
90609675,"2015 La Rochelle Pinot Meunier Parliament
Hill",Left wine fridge / 1
90609747,"2015 La Rochelle Pinot Meunier Parliament
Hill",Left wine fridge / 1
90609748,"2015 La Rochelle Pinot Meunier Parliament
Hill",Left wine fridge / 1
87674194,"2014 La Rochelle Pinot Meunier Parliament
Hill",Right wine fridge / 1
90609608,"NV La Rochelle Pinot Noir Applellation
Series Clone 667-115-wente- Non Vintage Russian River Valley",Right wine fridge / 1
90609609,"NV La Rochelle Pinot Noir Applellation
Series Clone 667-115-wente- Non Vintage Russian River Valley",Right wine fridge / 1
90609610,"NV La Rochelle Pinot Noir Applellation
Series Clone 667-115-wente- Non Vintage Russian River Valley",Right wine fridge / 1
90609977,"NV La Rochelle Pinot Noir Applellation
Series Russian River Valley",Left wine fridge / 1
87674596,"2011 La Rochelle Pinot Noir Donum Estate
Vineyard",Right wine fridge / 1
87711137,"2012 La Rochelle Pinot Noir Recherché
Reserve Ferrington Vineyard Pommard 4 clone",Left wine fridge / 1
87674385,2011 La Rochelle Pinot Noir Tondré Grapefield,Right wine fridge / 1
90609962,NV The Austin Winery Euphoria,Right wine fridge / 1
87674581,2012 The Austin Winery Pinot Noir,Right wine fridge / 1
87710553,2015 Balletto Vineyards Pinot Noir,Right wine fridge / 10
87710554,2015 Balletto Vineyards Pinot Noir,Right wine fridge / 10
87710555,2015 Balletto Vineyards Pinot Noir,Right wine fridge / 10
87710556,2015 Balletto Vineyards Pinot Noir,Right wine fridge / 10
87710557,2015 Balletto Vineyards Pinot Noir,Right wine fridge / 10
87710558,2015 Balletto Vineyards Pinot Noir,Right wine fridge / 10
87710559,2015 Balletto Vineyards Pinot Noir,Right wine fridge / 10
87712168,"2014 Gundlach Bundschu Cabernet Franc Estate
Vineyard",Left wine fridge / 10
87712402,2013 Gundlach Bundschu Merlot,Left wine fridge / 10
87712403,2013 Gundlach Bundschu Merlot,Left wine fridge / 10
87710504,2014 Gundlach Bundschu Pinot Noir,Right wine fridge / 10
87710505,2014 Gundlach Bundschu Pinot Noir,Right wine fridge / 10
87712289,"2014 Gundlach Bundschu Zinfandel Estate
Vineyard Sonoma Valley",Left wine fridge / 10
87712369,2013 Homewood Flying Wizzbanger,Left wine fridge / 10
87712370,2013 Homewood Flying Wizzbanger,Left wine fridge / 10
87712329,2012 Homewood Sangiovese Megliorata,Left wine fridge / 10
87712330,2012 Homewood Sangiovese Megliorata,Left wine fridge / 10
87712196,2012 Homewood Zinfandel Hoskins,Left wine fridge / 10
87710593,"2015 Balletto Vineyards Pinot Noir Emerson
Block Burnside Vineyard",Right wine fridge / 11
87710594,"2015 Balletto Vineyards Pinot Noir Emerson
Block Burnside Vineyard",Right wine fridge / 11
87710595,"2015 Balletto Vineyards Pinot Noir Emerson
Block Burnside Vineyard",Right wine fridge / 11
87710596,"2015 Balletto Vineyards Pinot Noir Emerson
Block Burnside Vineyard",Right wine fridge / 11
87710597,"2015 Balletto Vineyards Pinot Noir Emerson
Block Burnside Vineyard",Small wine fridge / Red
87712507,2012 Gundlach Bundschu Mountain Cuvée,Left wine fridge / 11
87710609,2014 Gundlach Bundschu Pinot Noir,Right wine fridge / 11
87710610,2014 Gundlach Bundschu Pinot Noir,Right wine fridge / 11
87712465,"2010 Homewood Le Délice de la Vallée
Shenandoah Valley",Left wine fridge / 11
87712483,2010 Homewood Petite Sirah,Left wine fridge / 11
87712528,2013 Homewood Pinot Noir,Left wine fridge / 11
87712419,2012 Homewood Zinfandel Hoskins,Left wine fridge / 11
87712544,2014 Kunde Estate Sauvignon Blanc,Left wine fridge / 11
87712431,2012 Larson Family Winery Zinfandel,Left wine fridge / 11
87712449,"2013 Truett-Hurst Zinfandel Old Vine Rattler
Rock",Left wine fridge / 11
87735644,2014 Balletto Vineyards Pinot Noir BCD,Left wine fridge / 12
87735685,"2013 Benziger Family Winery Joaquin's
Inferno Sonoma Mountain",Left wine fridge / 12
87735567,2012 Buena Vista The Sheriff,Left wine fridge / 12
87710951,2014 Gundlach Bundschu Cabernet Franc,Right wine fridge / 12
87710915,2013 Gundlach Bundschu Mountain Cuvée,Right wine fridge / 12
87710924,2014 Gundlach Bundschu Pinot Noir,Right wine fridge / 12
87710925,2014 Gundlach Bundschu Pinot Noir,Right wine fridge / 12
87735606,"2013 Gundlach Bundschu Tempranillo Estate
Vineyard",Left wine fridge / 12
87735607,"2013 Gundlach Bundschu Tempranillo Estate
Vineyard",Small wine fridge / Red
87710889,"2014 Gundlach Bundschu Zinfandel Estate
Vineyard Sonoma Valley",Right wine fridge / 12
87735653,2011 Homewood Barbera,Left wine fridge / 12
87735622,2010 Homewood Merlot,Left wine fridge / 12
87738515,2013 Homewood Tempranillo,Right wine fridge / 12
87738516,2013 Homewood Tempranillo,Right wine fridge / 12
87710966,NV Kirigin Cellars Vino de Mocca,Right wine fridge / 12
87735587,"2012 Larson Family Winery Millerick Road
Meritage",Left wine fridge / 12
87735715,2012 Topel Syrah Noir - Cuvée Donnis,Left wine fridge / 12
88502820,NV Duchman Family Winery Grape Growers Blend,Right wine fridge / 13
88502920,2014 Duchman Family Winery Montepulciano,Right wine fridge / 13
87711062,2013 Gundlach Bundschu Mountain Cuvée,Right wine fridge / 13
87711021,2011 Homewood Barbera,Right wine fridge / 13
87735754,"2010 Homewood Le Délice de la Vallée
Shenandoah Valley",Left wine fridge / 13
87735755,"2010 Homewood Le Délice de la Vallée
Shenandoah Valley",Left wine fridge / 13
87711049,"2010 Homewood Le Délice de la Vallée
Shenandoah Valley",Right wine fridge / 13
87735880,2010 Homewood Merlot,Left wine fridge / 13
87711002,2012 Homewood Sangiovese Megliorata,Right wine fridge / 13
87735844,2012 Homewood Zinfandel Hoskins,Left wine fridge / 13
87711032,2012 Homewood Zinfandel Hoskins,Right wine fridge / 13
87711033,2012 Homewood Zinfandel Hoskins,Right wine fridge / 13
87735811,2011 Kunde Estate 202 Meritage,Left wine fridge / 13
87735775,"2012 Kunde Estate Cabernet Sauvignon
Drummond Vineyard",Left wine fridge / 13
87735831,2012 Kunde Estate Red Dirt Red,Left wine fridge / 13
87735901,"2013 Larson Family Winery Pinot Noir
Millerick Road",Left wine fridge / 13
87735867,"2012 St. Francis Cabernet Sauvignon
Lagomarsino Vineyard",Left wine fridge / 13
87736011,2012 Benziger Family Winery Tribute,Left wine fridge / 14
87736000,"2013 Bluxome Street Winery Pinot Noir
Balinard Vineyard",Left wine fridge / 14
87735945,2013 Gundlach Bundschu Vintage Reserve,Left wine fridge / 14
87735924,2012 Gundlach Bundschu Vintage Reserve,Left wine fridge / 14
87735911,2011 Gundlach Bundschu Vintage Reserve,Left wine fridge / 14
87736248,"2010 Homewood Le Délice de la Vallée
Shenandoah Valley",Right wine fridge / 14
